Time(Sec(s)),CH1 psi,CH2 psi,CH3 psi,CH4 psi,CH5 psi,CH6 psi,CH7 psi,CH8 psi,CH9 psi,CH10 psi,CH11 psi,CH12 psi,CH13 psi,CH14 psi,CH15 psi,CH16 psi,,
1.17,-0.8,-0.9,-0.9,-0.8,-0.9,-0.7,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
1.18,-0.8,-0.9,-0.9,-0.8,-0.9,-0.7,-0.8,-0.7,-0.6,-0.7,-0.6,0,0,0,0,0,,
1.19,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.8,-0.7,-0.7,-0.6,0,0,0,0,0,,
1.2,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.8,-0.6,0,0,0,0,0,,
1.21,-0.8,-0.9,-0.9,-0.7,-0.9,-0.9,-0.8,-0.7,-0.6,-0.7,-0.6,0,0,0.1,0,-0.1,,
1.22,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
1.23,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.7,-0.7,-0.6,-0.6,-0.6,0,0,0,0,0,,
1.24,-0.8,-0.9,-0.9,-0.7,-0.9,-0.8,-0.8,-0.7,-0.6,-0.7,-0.6,0,0,0,0,0,,
1.25,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
1.26,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
1.27,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.6,-0.7,-0.6,0,0,0,0,0,,
1.28,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
1.29,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.6,-0.6,-0.6,0,0,0,0,0,,
1.3,-0.8,-0.9,-0.9,-0.7,-0.9,-0.8,-0.8,-0.7,-0.6,-0.7,-0.6,0,0,0,0,0,,
1.31,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
1.32,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
1.33,-0.7,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
1.34,-0.8,-0.9,-0.8,-0.8,-0.9,-0.7,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
1.35,-0.8,-0.9,-0.9,-0.7,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
1.36,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
1.37,-0.7,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
1.38,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
1.39,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
1.4,-0.8,-0.9,-0.9,-0.7,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
1.41,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.9,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
1.42,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
1.43,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.7,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
1.44,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.5,0,0,0,0,0,,
1.45,-0.8,-0.9,-0.9,-0.9,-1,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,-0.1,0,0,0,,
1.46,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
1.47,-0.8,-0.9,-0.8,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
1.48,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
1.49,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
1.5,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
1.51,-0.8,-0.9,-0.9,-0.9,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
1.52,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
1.53,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.6,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
1.54,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
1.55,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
1.56,-0.7,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.8,-0.7,-0.7,-0.6,0,0,0,0.1,0,,
1.57,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
1.58,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
1.59,-0.7,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
1.6,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
1.61,-0.7,-0.8,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
1.62,-0.8,-0.9,-0.9,-0.9,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
1.63,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
1.64,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
1.65,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
1.66,-0.7,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
1.67,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
1.68,-0.8,-0.9,-0.9,-0.9,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
1.69,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
1.7,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
1.71,-0.8,-0.9,-0.9,-0.8,-1,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
1.72,-0.8,-0.9,-0.9,-0.9,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
1.73,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
1.74,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
1.75,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
1.76,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
1.77,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
1.78,-0.8,-0.9,-0.9,-0.7,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
1.79,-0.8,-0.9,-1,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
1.8,-0.7,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
1.81,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
1.82,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
1.83,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.7,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
1.84,-0.6,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
1.85,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
1.86,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.7,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
1.87,-0.8,-0.9,-0.9,-0.7,-0.9,-0.8,-0.8,-0.7,-0.6,-0.7,-0.6,0,0,0,0,0,,
1.88,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
1.89,-0.8,-0.8,-0.9,-0.7,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
